ssid,address,frequency,channel
MD501-TimLin,DC:FB:02:61:9E:31,2.462 GHz,11
Mi 10 Lite 5G,DA:96:F2:A6:23:93,2.462 GHz,11
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
ntuiot_402,00:11:32:9D:30:3A,2.432 GHz,5
ntuiot_402,00:11:32:9D:30:3A,2.432 GHz,5
,16:11:32:B6:7B:24,2.447 GHz,8
eduroam,6C:F3:7F:31:F6:E1,2.412 GHz,1
88886666,0A:28:19:84:B7:DF,2.462 GHz,11
AUO_NTU,64:70:02:61:A9:EC,2.437 GHz,6
cy168,10:6F:3F:39:48:FE,2.462 GHz,11
MD501,04:8D:38:04:4E:86,2.412 GHz,1
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
nthuang,74:DA:38:10:10:60,2.457 GHz,10
BUFFALO-22AE0C,4C:E6:76:22:AE:0C,2.462 GHz,11
dcs405A,B0:6E:BF:3E:C6:B8,2.442 GHz,7
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
AUO_431_Meeting,90:9A:4A:09:41:63,2.457 GHz,10
MiVue_39:99,28:ED:E0:C8:39:99,2.412 GHz,1
ntuiot,00:11:32:B6:86:00,2.442 GHz,7
ntu_peap,00:0B:86:96:59:A1,2.412 GHz,1
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,AA:C9:E3:4B:6C:91,2.427 GHz,4
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
MD501-TimLin,DC:FB:02:61:9E:31,2.462 GHz,11
NTU,00:0B:86:96:59:A2,2.412 GHz,1
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
rpi_ap,B8:27:EB:A2:E0:72,2.442 GHz,7
AUO_431,C0:C9:E3:4B:6C:9F,2.427 GHz,4
MD705,04:D9:F5:D9:F4:A0,2.412 GHz,1
